genus	NPK1	NPK2	NPK3	NPK4	NPK5	NPK6	NPKM1	NPKM2	NPKM3	NPKM4	NPKM5	NPKM6
P88	22.35790865	30.72488618	71.3085622	27.07435012	14.64135703	76.21008959	17.50150536	35.17366721	35.31278455	17.90791599	29.84689382	16.64194449
P89	1.242106036	7.878175944	0	3.493464532	4.067043619	13.70069026	1.346269643	6.395212219	6.726244676	1.627992363	1.989792921	0
P90	4.968424145	11.02944632	20.25811426	17.46732266	23.58885299	12.84439712	95.58514466	76.74254663	100.8936701	86.28359524	179.0813629	116.4936114
P91	2.484212072	6.302540755	1.620649141	5.240196798	4.880452342	0.856293141	6.731348216	22.38324277	21.8602952	4.883977089	13.92855045	6.656777794
P92	65.83161991	14.96853429	1.620649141	6.113562931	4.067043619	11.13181084	0	1.598803055	3.363122338	0	0	0
P93	6.831583199	9.453811132	4.861947423	10.4803936	10.57431341	3.425172566	4.038808929	4.796409164	18.49717286	4.883977089	7.959171685	4.992583346
P94	0	0	4.051622852	0.873366133	0	0	14.80896607	7.994015274	8.407805845	11.39594654	17.90813629	11.64936114
P95	39.74739316	38.60306212	34.84395653	58.51553091	39.04361874	48.80870906	12.11642679	14.38922749	13.45248935	4.883977089	11.93875753	18.30613893
P96	0	0	0	0	0	0	40.38808929	52.76050081	75.67025261	45.58378617	107.4488177	53.25422235
P97	7.452636217	10.24162873	8.913570275	9.607027464	16.26817448	18.83844911	8.077617859	0	6.726244676	1.627992363	1.989792921	3.328388897
P99	0.621053018	0	1.620649141	0.873366133	0	0.856293141	16.15523572	47.96409164	38.67590689	30.9318549	33.82647966	41.60486121
P102	0.621053018	0.787817594	2.430973711	0	0	0.856293141	2.692539286	6.395212219	6.726244676	6.511969452	3.979585842	3.328388897
P104	31.67370392	82.72084741	16.20649141	16.59395653	52.05815832	24.8325011	13.46269643	1.598803055	31.94966221	4.883977089	7.959171685	6.656777794
P106	0	0	0	0	0	0	14.80896607	17.5868336	36.99434572	13.0239389	3.979585842	11.64936114
P107	3.10526509	3.939087972	9.723894845	9.607027464	4.067043619	3.425172566	17.50150536	15.98803055	13.45248935	14.65193127	29.84689382	8.320972243
P108	21.11580261	44.90560288	7.292921134	22.70751946	26.02907916	29.97025995	5.385078572	1.598803055	16.81561169	0	7.959171685	1.664194449
P109	99.98953591	66.17667793	61.58466735	137.991849	126.0783522	85.62931414	1999.21042	1315.814914	1294.8021	2074.062271	2357.904612	1920.480394
P110	24.2210677	9.453811132	12.15486856	30.56781466	32.53634895	20.55103539	224.8270304	159.8803055	208.513585	245.8268468	290.5097665	241.308195
P113	0.621053018	2.363452783	0	5.240196798	0.813408724	1.712586283	6.731348216	3.19760611	1.681561169	1.627992363	7.959171685	1.664194449
P118	3.726318108	0	2.430973711	7.860295198	2.440226171	7.706638273	2.692539286	1.598803055	1.681561169	8.139961815	9.948964606	14.97775004
P119	6.831583199	6.302540755	23.49941254	25.32761786	29.28271405	25.68879424	223.4807608	354.9342782	110.9830372	125.355412	135.3059186	138.1281392
P120	8.073689235	16.54416948	20.25811426	46.28840505	30.09612278	19.69474225	52.50451608	63.95212219	79.03337494	48.83977089	79.59171685	64.90358349
P124	3.726318108	1.575635189	1.620649141	0.873366133	0.813408724	5.137758849	0	0	0	0	0	0
P125	0	0	0	0	0	0	4.038808929	11.19162138	10.08936701	6.511969452	3.979585842	11.64936114
P126	39.12634014	43.32996769	74.54986048	33.18791306	26.02907916	83.91672786	105.0090322	466.850492	238.781686	144.8913203	175.1017771	131.4713614
P128	0	0	0	0.873366133	0	0	39.04181965	28.77845499	45.40215156	52.09575562	41.78565134	66.56777794
P129	124.8316566	148.8975253	192.0469232	147.5988765	123.638126	226.9176825	21.54031429	41.56887942	36.99434572	16.27992363	45.76523719	33.28388897
P131	1.242106036	0.787817594	13.7755177	6.986929064	8.134087237	2.568879424	18.847775	35.17366721	21.8602952	35.81583199	21.88772213	34.94808342
P132	0	0	0	0	0	0	59.2358643	305.3713835	48.7652739	92.79556469	167.1426054	138.1281392
P134	1.863159054	2.363452783	0	11.35375973	21.14862682	17.12586283	10.77015714	0	6.726244676	0	7.959171685	4.992583346
P135	1.242106036	10.24162873	0.81032457	3.493464532	0.813408724	0	18.847775	19.18563666	16.81561169	24.41988545	27.8571009	18.30613893
P136	1.242106036	1.575635189	2.430973711	0	1.626817447	1.712586283	25.57912322	9.592818329	15.13405052	24.41988545	21.88772213	8.320972243
